batch,index,music,hashtag,author,likes,comments,shares,saves,video_id
4,13,sonido original - halo,"diamantblazi, seckoff, bball, basketball, fyp, dance, gamewin, gameday, viral, foryou, trend, floridabasketball, florida, usa, usabasketball, trio, dunk, sportstiktok",diamantblazi,66500,480,4757,329,-1
4,14,original sound - FireDeptChronicles,"potato, face, ems",firedepartmentchronicles,1800000,2938,113100,8134,-1
4,15,original sound - Mr.Linguini,"fyp, 06, viral, xybca, xzyabc, relatable, fyp%E3%82%B7, hellokitty, hellokittygirl, bpd, antipsychotics, bipd, seroqueltok",littledollirl,183400,896,11500,817,-1
4,16,original sound - Z1n3x,"fyp, goviral, fortnite, fortnitememes, gaming",z1._._._._,693200,3196,76200,14200,-1
4,17,son original - 💐𝐵🪐,,harperzilmer4,472500,2852,29300,1566,-1
4,18,The Little Mermaid (Marimba Remix) - Harry Goes Boom!,"fyp, foryoupage, viral, xyzbca, floptok, mylittlemermaid",taattoedheaarts,3100000,60100,260700,53100,-1
4,19,original sound - Walter Black,"relatable, fyp%E3%82%B7, viralvideo, foryou, boyfriend",youdontknowme6992,642700,2567,53600,2223,-1
4,20,original sound - leelee💕,"fyp, foryoupage, fyp%E3%82%B7, viral, fyppppppppppppppppppppppp",leeleebukkz,4900000,68700,394000,144600,-1
4,21,original sound - Corey O’Brien,"@tammyslaton2020, amyslaton, tammyslaton, 1000lbsisters",corey_obrien,629100,8466,39500,57900,-1
4,22,original sound - Xero,"fyp, xyzbca, foryoupage, viral",yexero,51200,328,9607,1337,-1
4,23,original sound - The.Spicy☦️🇷🇸🇧🇦,"foryou, fyp, reallife, grannyvrreallife, goviral, scream, screaming, grannyvr, kidplayinggvr, playingvr, vr, trending, trend, funny, laugh, rage, grannyhorrorgame, granny, grannychapter, grannygame, grannydvloper, horrorgames, scarygames, gamers, ghost, gameplay, horrorgame, grannychapterthree, scary, gaming, grannyhorror, grannychaptertwo, meme, memer",the.spicy26,9452,117,2575,133,-1
4,24,Sad piano ballad (BGM / sad)(936782) - TrickSTAR MUSIC,"jzuqiaistories, memes, funny",jzuqiai,40700,1439,10600,5065,-1
4,25,Transgender - Crystal Castles,"movie, foryou",danel_film,137200,361,7268,200,-1
5,0,kai bomboclaat - 6’2 with dreads btw,,giannamjoyce,2500000,11700,213600,11200,-1
5,1,Diamondz n Roses - VaporGod,"viralvideo, fyp",nnsquad4,19700,120,1195,26,-1
5,2,original sound - (ง'̀-'́)ง,"fyp%E3%82%B7, foryou, foryoupage, glazing, cringe",yeatisacutiepatootie,269000,5643,28500,3358,-1
